scenario,mode,epsilon,seed,policy,H_malicious_hops,delta_undetected_s,delta_total_s,delta_evade_worst_s,floor_composed,floor_composed_worst,floor_autonomy_only,floor_network_only,floor_composed__kinematic_v15,floor_autonomy_only__kinematic_v15,floor_composed__empirical_receiver,floor_autonomy_only__empirical_receiver,floor_composed__empirical_ekf,floor_autonomy_only__empirical_ekf
1,low,1.5,40,DSDV,1,0.0,63.415,1.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,40,DSR,2,0.0,127.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,40,OLSR,2,0.0,67.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,41,AODV,1,0.0,3.838,1.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,1.5,41,DSDV,1,0.0,3.838,1.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,1.5,41,DSR,2,0.0,247.676,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,41,OLSR,1,0.0,3.838,1.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,1.5,42,AODV,2,0.0,7.457,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,42,DSDV,2,0.0,7.457,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,42,DSR,2,0.0,67.457,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,42,OLSR,2,0.0,7.457,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,43,AODV,2,0.0,7.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,43,DSDV,2,0.0,7.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,43,DSR,2,0.0,7.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,43,OLSR,2,0.0,7.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,44,AODV,2,0.0,7.02,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,44,DSDV,2,0.0,7.02,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,44,DSR,2,0.0,67.02,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,44,OLSR,2,0.0,7.02,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,10.0,37,AODV,2,8.137,8.137,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,37,DSDV,2,8.137,8.137,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,37,DSR,2,8.137,8.137,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,37,OLSR,2,8.137,8.137,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,38,AODV,2,4.303,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,38,DSDV,2,8.435,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,38,DSR,2,4.303,68.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,38,OLSR,2,8.435,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
